Unique Drugs,Unique Targets,Drug Names,Target Name
O=C(O)CCC(=O)C(=O)O,Q9GZT9,2-ketoglutaric acid,Egl nine homolog 1;
CC(=O)OCC[N+](C)(C)C,P58154,acetylcholine,Acetylcholine-binding protein;
CCCC(=O)O,Q9Z429,butyric acid,Methyl-accepting chemotaxis protein NahY;
O=C(O)CC(O)(CC(=O)O)C(=O)O,P15474,citric acid,3-dehydroquinate dehydratase;
O=C(O)CC(O)C(=O)O,P9WNS1,malic acid,1-deoxy-D-xylulose 5-phosphate reductoisomerase {ECO:0000255|HAMAP-Rule:MF_00183};
O=CN(O)CCCP(=O)(O)O,P07550,fosmidomycin,Beta-2 adrenergic receptor;
NCCc1ccc(O)c(O)c1,P21728,dopamine,D(1A) dopamine receptor;
NCCc1cnc[nH]1,P25102,histamine,Histamine H2 receptor;
c1ccc2[nH]ccc2c1,P31390,indole,Histamine H1 receptor;
O=C([O-])Cc1c[nH]c2ccccc12,P47747,indole-3-acetate,Histamine H2 receptor;
CNCC(O)c1ccc(O)c(O)c1,P0A881,DL-Adrenaline,Trp operon repressor;
O=C(O)CC(=O)C(=O)O,P55263,oxalacetic acid,Beta-adrenergic receptor kinase 1;
CCCCCCCCCCCCCCCC(=O)O,P25098,palmitic acid,"Fatty acid-binding protein, adipocyte;"
c1ccncc1,P15090,PYRIDINE,Fatty acid-binding protein 5 {ECO:0000305};
O=C(O)c1cccnc1C(=O)O,Q01469,quinolinic acid,Advanced glycosylation end product-specific receptor;
O=C(O)CCC(=O)O,P08684,succinic acid,Thiamine-binding periplasmic protein;
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Q15109,thiamine,1-deoxy-D-xylulose-5-phosphate synthase;
Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1,P31550,thiamine monophosphate,5-hydroxytryptamine receptor 2B;
Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1,Q9RUB5,thiamine diphosphate,Translocator protein;
NCCc1c[nH]c2ccccc12,P30994,tryptamine,Carbonic anhydrase 2;
O=C(O)CC(C(=O)O)C(O)C(=O)O,P16257,isocitric acid,Sex hormone-binding globulin {ECO:0000305};
CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,P00918,PK 11195,5-hydroxytryptamine receptor 2C {ECO:0000305};
O=S(=O)(O)c1cccc2cccc(Nc3ccccc3)c12,P04278,8-Anilino-1-naphthalenesulfonic acid,5-hydroxytryptamine receptor 1D;
COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1,P08909,AL7182,BDNF/NT-3 growth factors receptor;
COc1ccc(N2CC(O)c3cc(S(N)(=O)=O)sc3S2(=O)=O)cc1,P28221,N-Pyridoxyl-Glycine-5-Monophosphate,Acetylcholinesterase;
CCCCCCCCCc1ccc(O)cc1,Q16620,4-nonylphenol,Beta-1 adrenergic receptor {ECO:0000305};
NCCc1c[nH]c2ccc(C(N)=O)cc12,P21836,5-Carboxamidotryptamine,Beta-3 adrenergic receptor;
O=c1cc(-c2ccccc2)oc2c(O)c(O)ccc12,P08588,"7,8-dihydroxyflavone",Cytochrome P450 1A1 {ECO:0000303|PubMed:11555828};
Nc1c2c(nc3ccccc13)CCCC2,P13945,Tacrine,Carbonic anhydrase 12 {ECO:0000305};
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,P04798,acebutolol,Carbonic anhydrase 1;
CC(=O)Nc1ccc(O)cc1,O43570,acetaminophen,Carbonic anhydrase 4;
CC(=O)Nc1nnc(S(N)(=O)=O)s1,P00915,acetazolamide,Carbonic anhydrase 6;
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,P22748,Salbutamol,"Carbonic anhydrase 5A, mitochondrial {ECO:0000305|PubMed:8356065};"
O=c1[nH]cnc2n[nH]cc12,P23280,allopurinol,Carbonic anhydrase 7;
O=P(O)(O)Oc1cccc2ccccc12,P35218,1-Naphthyl phosphate,Carbonic anhydrase 9;
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,P43166,alprazolam,Carbonic anhydrase 13;
C=CCc1ccccc1OCC(O)CNC(C)C,Q16790,alprenolol,Beta-2 adrenergic receptor;
CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,Q8N1Q1,AM580,Purine nucleoside phosphorylase;
CN(C)CCC=C1c2ccccc2CCc2ccccc21,Q28044,amitriptyline,Tyrosine-protein kinase Lck;
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,P9WP01,amodiaquine,Bromodomain-containing protein 4;
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,P06239,astemizole,Retinoic acid receptor alpha;
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,O60885,atenolol,Retinoic acid receptor gamma;
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,P10276,azelastine,Heparanase;
COC(=[OH+])C1=C(C)[N-]C(C)=C([N+](=O)[O-])C1c1ccccc1C(F)(F)F,P13631,71145-03-4,Beta-2 adrenergic receptor;
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,P04629,bepridil,Histamine H1 receptor;
COc1c2ccoc2cc2oc(=O)ccc12,Q9Y251,Bergapten,Voltage-dependent L-type calcium channel subunit alpha-1C;
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,Q8K4Z4,betaxolol,Envelope glycoprotein;
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,P35367,BISOPROLOL,Potassium voltage-gated channel subfamily A member 3;
COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,Q13936,Bmy-7378,Potassium voltage-gated channel subfamily A member 6;
CCCCOc1ccc(CC(=O)NO)cc1,Q05320,bufexamac,Potassium voltage-gated channel subfamily A member 5;
Cc1ccc(Cl)c(OCC(O)CNC(C)(C)C)c1,P16390,BUPRANOLOL,Potassium voltage-gated channel subfamily C member 1;
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,P17658,candesartan,Alpha-1A adrenergic receptor;
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,P22460,carvedilol,Histone deacetylase 3;
CC1(C)CCC(C)(C)c2cc(C(=O)c3ccc4cc(C(=O)O)ccc4c3)ccc21,P48547,cd564,Type-1 angiotensin II receptor A {ECO:0000303|PubMed:2041570};
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,P43140,celecoxib,Retinoic acid receptor beta;
Cn1cc(C(F)(F)F)nc1-c1ccc(OCC(O)CNCCOc2ccc(O)c(C(N)=O)c2)cc1,O15379,CGP-20712,Prostaglandin G/H synthase 2 {ECO:0000305};
CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12,P25095,Cgp 12177,Bcl-2-like protein 1;
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,P10826,chlorcyclizine,Riboflavin-binding protein;
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,P35354,chloroquine,Albumin;
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,Q07817,chlorpromazine,Calmodulin;
CNC(=NC#N)NCCSCc1[nH]cnc1C,P02752,cimetidine,Histamine H3 receptor;
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,P02768,clenbuterol,Cytochrome P450 144;
NC(=NCc1ccc(Cl)cc1)SCCCc1cnc[nH]1,P62157,clobenpropit,Steroid C26-monooxygenase {ECO:0000250|UniProtKB:P9WPL5};
Clc1cccc(Cl)c1N=C1NCCN1,Q9JI35,clonidine,Cytochrome P450 130;
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,P9WPL0,clotrimazole,Mycocyclosin synthase;
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,P9WPL4,clozapine,5-hydroxytryptamine receptor 2A;
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,P9WPN4,CYPROHEPTADINE,Histamine H1 receptor;
N=C(N)c1ccc(-c2cc3ccc(C(=N)N)cc3[nH]2)cc1,P9WPP7,dapi,Cell division protein FtsZ {ECO:0000255|HAMAP-Rule:MF_00909};
Cc1cc(=[NH2+])c2ccccc2n1CCCCCCCCCCn1c(C)cc(=[NH2+])c2ccccc21,P14842,dequalinium,Small conductance calcium-activated potassium channel protein 3;
CNCCCN1c2ccccc2CCc2ccccc21,P31389,desipramine,Gamma-aminobutyric acid receptor subunit alpha-1;
CC(N)Cc1ccccc1,P0A9A6,AMPHETAMINE,Nicotinamide phosphoribosyltransferase;
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,P70605,diazepam,Retinoic acid receptor RXR-alpha;
CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,P14867,diazoxide,Gamma-butyrobetaine dioxygenase;
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,P43490,diflunisal,Cytochrome P450 130;
CN(C)CCCSC(=N)N,P19793,Dimaprit,Steroid C26-monooxygenase {ECO:0000303|PubMed:20545858};
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,O75936,domperidone,Aurora kinase B {ECO:0000303|PubMed:33542149};
O=c1c2ccccc2[se]n1-c1ccccc1,P9WPN5,ebselen,Lanosterol 14-alpha demethylase {ECO:0000305};
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,P9WPP0,econazole,"Sterol 14-alpha demethylase {ECO:0000303|PubMed:16321980, ECO:0000312|EMBL:AAW47718.1};"
CCOc1ccc2nc(S(N)(=O)=O)sc2c1,Q96GD4,ethoxzolamide,Sodium-dependent noradrenaline transporter;
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,Q16850,felodipine,Sodium-dependent serotonin transporter;
Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1,Q7Z1V1,fenoldopam,3-phosphoshikimate 1-carboxyvinyltransferase {ECO:0000255|HAMAP-Rule:MF_00210};
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,P23975,fluconazole,Mitogen-activated protein kinase 1 {ECO:0000305};
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,P31645,fluoxetine,Rho-associated protein kinase 2;
Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,P0A6D3,ganciclovir,Muscarinic acetylcholine receptor M3;
O=C(O)CNCP(=O)(O)O,P28482,glyphosate,Muscarinic acetylcholine receptor M2;
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,O75116,gossypol,Adenosine receptor A1;
NC(N)=NCCNS(=O)(=O)c1cccc2cnccc12,P08483,ha-1004,Alpha-2B adrenergic receptor;
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,P10980,Fasudil,Retinoic acid receptor RXR-beta;
CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,P30542,Butylscopolamine BR,Sodium-dependent dopamine transporter;
Cc1ccc(OCC(O)C(C)NC(C)C)c2c1CCC2,P18089,"ICI-118,551",Muscarinic acetylcholine receptor M2;
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,P28704,indapamide,Muscarinic acetylcholine receptor M1;
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,P23977,indomethacin,Beta-1 adrenergic receptor;
CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21,P08172,3-Isobutyl-1-methylxanthine,Fibroblast growth factor 1;
CC(C)NCC(O)c1ccc(O)c(O)c1,P08482,isoproterenol,Fibroblast growth factor 2;
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,P18090,labetalol,Sodium-dependent dopamine transporter;
Cc1cc2c(cc1C1(c3ccc(C(=O)O)cn3)CC1)C(C)(C)CCC2(C)C,P05230,153559-76-3,5-hydroxytryptamine receptor 3A {ECO:0000305|PubMed:9463477};
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,P09038,losartan,Tyrosine-protein phosphatase non-receptor type 1;
OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,Q01959,mazindol,Carbon monoxide dehydrogenase small chain;
CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21,O70212,medazepam,"Poly [ADP-ribose] polymerase 1 {ECO:0000303|PubMed:2824474, ECO:0000303|PubMed:3120710};"
CC(C)NCC(O)c1cc(O)cc(O)c1,P18031,metaproterenol,Beta-2 adrenergic receptor;
COc1ccccc1CNCCCCCCNCCCCCCCCNCCCCCCNCc1ccccc1OC,P19921,Methoctramine,Sodium-dependent serotonin transporter;
C[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,P09874,Pamine Bromide,5-hydroxytryptamine receptor 1A;
COCCc1ccc(OCC(O)CNC(C)C)cc1,P54833,metoprolol,ATP-dependent translocase ABCB1 {ECO:0000250|UniProtKB:P08183};
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,Q2NNR5,miconazole,D(2) dopamine receptor;
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,P31652,Moxisylyte,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform;"
NS(=O)(=O)c1ccc(S(=O)(=O)NCc2cccs2)s1,P08908,"n-(2-thienylmethyl)-2,5-thiophenedisulfonamide",Serine/threonine-protein kinase PLK4 {ECO:0000305};
COc1ccc2c(c1)c(CC(=O)NCCc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,P21447,"N,N-Bis(4-Chlorobenzyl)-1h-1,2,3,4-Tetraazol-5-Amine",Dual specificity mitogen-activated protein kinase kinase 7;
COc1ccc(CNS(=O)(=O)c2ccc(S(N)(=O)=O)s2)cc1,P14416,AL5927,Aurora kinase A {ECO:0000312|HGNC:HGNC:11393};
O=S(=O)([O-])c1ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])cc2c1,O00329,naphthalene trisulfonate,Cyclin-G-associated kinase {ECO:0000305};
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,O00444,nefazodone,Serine/threonine-protein kinase DCLK1;
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,O14733,ofloxacin,Ephrin type-B receptor 6;
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,O14965,olanzapine,Mitogen-activated protein kinase 13;
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,O14976,ondansetron,Mitogen-activated protein kinase kinase kinase 13;
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O15075,oxazepam,Death-associated protein kinase 3;
O=c1[nH]c(=O)c2c[nH]nc2[nH]1,O15197,Oxypurinol,Mitogen-activated protein kinase kinase kinase 7;
Nc1ccc(C(=O)O)c(O)c1,O15264,4-Aminosalicylic acid,NUAK family SNF1-like kinase 1;
O=C1C=CC(=O)C=C1,O43283,p-benzoquinone,Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma {ECO:0000305|PubMed:12422219};
CC(C)NCC(O)COc1cccc2[nH]ccc12,O43293,pindolol,Serine/threonine-protein kinase ULK1 {ECO:0000305};
CN(C)CC(=O)Nc1ccc2[nH]c(=O)c3ccccc3c2c1,O43318,PJ34,Ribosomal protein S6 kinase alpha-5;
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,O60285,practolol,Serine/threonine-protein kinase 16;
O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,O60331,Pranlukast,Phosphatidylinositol 3-kinase C2 domain-containing subunit gamma {ECO:0000305};
CC(C)NCC(O)c1ccc2ccccc2c1,O75385,pronethalol,Serine/threonine-protein kinase PAK 3;
CC(C)NCC(O)COc1cccc2ccccc12,O75582,propranolol,Cyclin-dependent kinase 14;
O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1,O75716,6-nitroquipazine,Mitogen-activated protein kinase kinase kinase 6;
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,O75747,ROXATIDINE ACETATE,Serine/threonine-protein kinase OSR1;
OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,O75914,Salmeterol,Mitogen-activated protein kinase kinase kinase kinase 4;
Cn1ccc2cc3c(cc21)CCN3C(=O)Nc1cccnc1,O94921,158942-04-2,Serine/threonine-protein kinase LATS1;
NCCc1c[nH]c2ccc(O)cc12,O95382,serotonin,Serine/threonine-protein kinase PAK 4;
COc1cc(C2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)C4O)ccc3OC2CO)ccc1O,O95747,SILYMARIN,Serine/threonine-protein kinase Chk2;
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,O95819,sotalol,Tyrosine-protein kinase ABL1;
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,O95835,spiperone,Epidermal growth factor receptor {ECO:0000305};
CCCCCCCCCCCCCCCCCC(=O)O,O96013,stearic acid,High affinity nerve growth factor receptor;
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,O96017,Imatinib,Insulin receptor;
O=C(CCCCCCC(=O)Nc1ccccc1)NO,P00519,Vorinostat,Tyrosine-protein kinase Fyn;
Nc1ccc(S(N)(=O)=O)cc1,P00533,sulfanilamide,Tyrosine-protein kinase Fes/Fps;
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,P06213,sumatriptan,Tyrosine-protein kinase Yes;
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,P06241,terazosin,Tyrosine-protein kinase Lyn;
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,P07332,terbutaline,Proto-oncogene tyrosine-protein kinase receptor Ret {ECO:0000305};
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,P07947,terfenadine,Insulin-like growth factor 1 receptor;
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,P07948,tetracaine,Hepatocyte growth factor receptor;
CN(C)C(=S)SSC(=S)N(C)C,P07949,thiram,Tyrosine-protein kinase HCK;
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,P08069,racemic-Timolol,Uncharacterized serine/threonine-protein kinase SBK3;
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,P08581,tolbutamide,Mast/stem cell growth factor receptor Kit;
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,P08631,triazolam,Serine/threonine-protein kinase pim-1;
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,P0C264,triclosan,"Myosin light chain kinase, smooth muscle;"
CN1C(=O)OC(C)(C)C1=O,P10721,trimethadione,Serine/threonine-protein kinase B-raf {ECO:0000305};
NCCc1ccc(O)cc1,P11309,tyramine,"Phosphorylase b kinase gamma catalytic chain, liver/testis isoform;"
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,P11799,venlafaxine,Platelet-derived growth factor receptor alpha;
CCOc1ccccc1OCC1CNCCO1,P15056,viloxazine,Tyrosine-protein kinase Fer;
COc1cccc(OC)c1OCCNCC1COc2ccccc2O1,P15735,WB-4101,cAMP-dependent protein kinase catalytic subunit alpha;
Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,P16234,Pirinixic acid,Vascular endothelial growth factor receptor 1;
NS(=O)(=O)Cc1noc2ccccc12,P16591,zonisamide,Casein kinase II subunit alpha';
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2C(=O)CO,P17612,CORTICOSTERONE,Serine/threonine-protein kinase MAK;
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,P17948,estradiol,Ephrin type-A receptor 1;
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,P19784,phentolamine,Receptor tyrosine-protein kinase erbB-3;
CNC[C@H](O)c1ccc(O)c(O)c1,P20794,epinephrine,Fibroblast growth factor receptor 4;
